Name,Year,Politics,Corporate,Private,Public,Interaction
Capital,2000,1,1,0,0,1
Parallel,2000,0,0,1,0,0
Exit,2001,0,1,0,1,0
Ground,2001,0,0,0,1,0
Passing,2001,0,1,1,0,0
Setting,2001,0,1,1,0,0
Still,2001,0,0,0,0,0
Building,2001,0,1,1,0,1
Expo,2001,1,0,1,1,0
Flux,2001,0,1,0,1,0
Intersection,2001,0,0,0,1,0
Two Sixty Four,2001,0,0,1,0,0
Domicile,2002,0,0,1,0,0
Park ,2002,0,1,0,1,1
Gate,2002,1,1,0,1,1
Mezzanine,2002,0,1,0,1,1
Quarter,2002,1,0,0,1,0
Terrace,2002,0,1,0,1,0
Tube,2002,0,0,0,1,1
Intermezzo,2003,1,0,0,0,1
Info,2003,1,0,0,1,1
Tour,2003,0,0,0,1,1
Midi,2003,1,0,0,1,1
Lille,2003,1,0,0,1,1
Metro,2003,1,0,0,1,1
Etage,2003,1,0,0,1,1
Platform,2003,1,1,0,1,1
Habitat,2003,0,0,1,0,0
Annex,2003,1,0,0,1,0
Column,2003,1,1,0,1,0
Crop,2003,0,0,0,1,0
Focus,2003,0,1,0,1,0
Grid,2003,0,1,1,0,0
Lobby,2003,1,0,1,0,1
Model,2003,1,0,1,0,0
Plateau,2003,1,0,0,0,0
Prospect,2004,1,0,0,1,1
Nexus,2004,1,0,0,1,1
Level,2004,0,0,0,1,1
Gazette,2004,1,1,0,1,1
Plan,2004,1,1,0,0,1
Frame,2004,0,0,0,1,0
Section,2004,0,0,0,1,1
Facet,2004,1,0,0,1,1
Class,2004,1,0,0,1,1
Panorama,2004,0,1,1,0,0
Sequence,2004,1,0,1,1,0
Palace,2004,1,0,0,0,0
Link,2004,1,1,0,1,1
Gallery,2004,1,1,1,0,0
Front,2004,1,0,1,1,0
Canvas,2004,0,1,1,0,0
Match,2004,0,1,0,1,1
Scene,2004,0,1,0,1,1
Module,2004,1,0,0,1,0
Zone,2004,1,1,0,1,0
Loop,2005,0,1,0,1,1
Enterprise,2005,0,5,1,0,0,0
Display,2005,1,1,1,1,1
Enclave,2005,1,0,0,1,1
Domain,2005,1,1,0,0,0
Room,2005,1,1,0,1,1
Core,2005,1,0,0,1,1
Palette,2005,1,0,0,1,1
Queue,2005,1,1,0,1,1
Unit,2005,0,1,0,1,0
Reservoir,2005,0,1,0,0,1
Image,2005,0,1,0,1,0
Regime,2005,1,0,1,0,0
Border,2005,0,1,1,0,0
Storey,2005,0,0,1,0,0
Circle,2006,0,1,0,0,1
Memo,2006,0,1,0,0,0,5
Contact,2006,0,1,0,0,0,5
Collage,2006,0,1,0,1,0,5
Filter,2006,0,1,0,0,0
Corner,2006,0,5,0,0,1,0,5
Bloom,2006,1,0,0,1,1
Fringe,2006,1,1,0,0,0
Array,2006,1,1,0,1,0
Cycle,2006,1,1,0,1,1
Interlude,2006,1,0,0,1,1
Studio,2006,1,0,1,0,0
Arcade,2006,0,1,1,0,1
Mirage,2006,1,1,0,1,1
Sector,2006,0,1,0,0,1
Entrance,2006,0,1,0,1,1
Square,2006,0,1,0,1,1
Screen,2006,0,1,1,0,0
Network,2006,0,1,1,0,0
Presence,2006,0,1,1,0,1
Exposure,2007,0,1,0,1,1
Base,2007,0,1,0,1,1
Center,2007,0,8,0,2,0,1,1
Access,2007,0,0,3,0,7,1,1
Aperture,2007,0,0,6,0,1,0
Detail,2007,0,0,1,0,0
Dynasty,2007,0,5,0,5,0,5,0,0
Living,2007,0,0,5,0,5,0,0
Passage,2007,0,0,0,1,0,5
Bouquet,2008,0,0,1,0,0
Forum,2008,0,5,0,0,1,1
House,2008,0,0,0,0,6,0
Territory,2008,0,8,0,2,0,1,0
Labyrinth,2008,0,5,0,0,1,0
Cluster,2008,0,6,0,1,1,0,5
Atmosphere,2008,0,0,1,1,0
Volume,2008,0,0,1,1,1
Support,2008,0,5,0,0,1,1
Junction,2008,0,1,0,1,1
Spectrum,2008,0,0,0,0,1
Replica,2008,0,0,1,0,6,0
Control,2008,1,0,0,1,1
Nature,2008,1,0,0,1,0
Project,2008,1,1,0,0,0
Property,2008,1,1,1,0,0
Summit,2008,0,1,0,1,1
Transition,2008,0,1,0,0,0
Site,2008,1,1,0,0,0
Matrix,2008,1,0,0,1,1
Monitor,2008,0,0,0,0,1
Flood,2009,0,1,0,1,0,5
Picture a Mirror,2009,0,0,0,1,0
Matter,2009,1,0,0,1,1
Play,2009,0,0,0,1,1
Race,2009,0,1,0,1,1
Condominium,2010,1,1,1,0,0
The English House,2010,1,1,0,1,1
Green Zone,2010,0,5,0,5,0,5,1,1
SuperVision,2010,0,0,1,0,0
China Halo,2010,0,0,0,1,0
Crossover,2010,0,5,1,0,3,0,0
Premises (in Red),2010,1,1,1,1,1
One Brilliant Complex,2011,1,0,0,1,0
The Approach,2011,1,0,0,1,1
Double Standard,2012,1,1,1,0,1
Plot Ratio,2012,0,1,1,0,1
Synchronicity,2012,0,1,0,1,1
Costa Blanca,2012,0,5,1,0,0,0,5
Flatland,2012,0,0,1,1,0
Hotel Opportunity,2012,0,1,0,1,1
Mission Interlude,2012,1,1,1,0,1
Multi Story Building,2012,0,0,1,1,0
Timeport,2012,0,1,0,1,1
Hollywood,2013,0,1,0,1,1
Megalopolis,2013,0,3,0,0,5,0,5,0,5
Paramount,2013,0,1,0,1,0,5
Thriller,2013,0,0,5,0,5,0,0,5
Capital no Capital,2013,1,0,5,0,0,5,0
California,2013,0,1,1,0,0
Levante,2013,0,3,0,6,0,3,0,8,0,4
Propitious Grounds,2013,0,4,0,0,5,0,5,1
The Strip,2013,0,5,1,0,5,0,5,1
Treasure Gathering Square,2013,1,0,1,1,1
The Crossroads,2014,1,1,0,1,1
The Deal,2015,0,8,0,0,5,1,1
Panacea,2015,0,0,0,5,0,5,0,5
Wonderland,2015,0,1,0,5,0,5,0
Momentum,2016,1,0,0,1,1
The Next Level,2016,0,0,0,5,0,5,1
UN,2016,0,5,0,0,0,5,0,5
Entr'acte,2016,1,1,0,0,1
Performance,2017,0,1,0,5,0,5,0,5
The Valley Continuum,2018,0,5,0,5,0,1,1

